dataset_seq,per_class_seq,slice_file_name,fsID,start,end,salience,fold,classID,class
2053,624,165529-2-0-6.wav,165529,3,7,2,7,2,children_playing
2054,625,165529-2-0-70.wav,165529,35,39,2,7,2,children_playing
2055,626,165529-2-0-73.wav,165529,36.5,40.5,2,7,2,children_playing
2056,627,165529-2-0-8.wav,165529,4,8,2,7,2,children_playing
2057,628,165529-2-0-90.wav,165529,45,49,2,7,2,children_playing
2058,629,175296-2-0-123.wav,175296,61.5,65.5,1,7,2,children_playing
2059,630,175296-2-0-128.wav,175296,64,68,1,7,2,children_playing
2060,631,175296-2-0-140.wav,175296,70,74,1,7,2,children_playing
2061,632,175296-2-0-212.wav,175296,106,110,1,7,2,children_playing
2062,633,175296-2-0-3.wav,175296,1.5,5.5,1,7,2,children_playing
2063,634,175296-2-0-54.wav,175296,27,31,1,7,2,children_playing
2064,635,175296-2-0-76.wav,175296,38,42,1,7,2,children_playing
2065,636,175296-2-0-86.wav,175296,43,47,1,7,2,children_playing
2066,637,196059-2-0-0.wav,196059,0,4,1,7,2,children_playing
2067,638,196059-2-0-1.wav,196059,0.5,4.5,1,7,2,children_playing
2068,639,196064-2-0-0.wav,196064,0,1.243741,1,7,2,children_playing
2069,640,196070-2-0-0.wav,196070,0,4,1,7,2,children_playing
2070,641,196070-2-0-1.wav,196070,0.5,4.5,1,7,2,children_playing
2071,642,196070-2-0-2.wav,196070,1,5,1,7,2,children_playing
2072,643,196070-2-0-3.wav,196070,1.5,5.5,1,7,2,children_playing
2073,644,196070-2-0-4.wav,196070,2,6,1,7,2,children_playing
2074,645,196070-2-0-5.wav,196070,2.5,6.5,1,7,2,children_playing
2075,646,196075-2-0-0.wav,196075,0,3.499705,1,7,2,children_playing
2076,647,207216-2-0-112.wav,207216,60.554455,64.554455,2,7,2,children_playing
2077,648,207216-2-0-119.wav,207216,64.054455,68.054455,2,7,2,children_playing
2078,649,207216-2-0-128.wav,207216,68.554455,72.554455,2,7,2,children_playing
2079,650,207216-2-0-130.wav,207216,69.554455,73.554455,2,7,2,children_playing
2080,651,207216-2-0-137.wav,207216,73.054455,77.054455,2,7,2,children_playing
2081,652,207216-2-0-22.wav,207216,15.554455,19.554455,2,7,2,children_playing
2082,653,207216-2-0-43.wav,207216,26.054455,30.054455,2,7,2,children_playing
2083,654,207216-2-0-66.wav,207216,37.554455,41.554455,2,7,2,children_playing
2084,655,49313-2-0-1.wav,49313,0.5,4.5,1,7,2,children_playing
2085,656,49313-2-0-10.wav,49313,5,9,1,7,2,children_playing
2086,657,49313-2-0-13.wav,49313,6.5,10.5,1,7,2,children_playing
2087,658,49313-2-0-20.wav,49313,10,14,1,7,2,children_playing
2088,659,49313-2-0-30.wav,49313,15,19,1,7,2,children_playing
2089,660,49313-2-0-4.wav,49313,2,6,1,7,2,children_playing
2090,661,49313-2-0-9.wav,49313,4.5,8.5,1,7,2,children_playing
2091,662,61503-2-0-0.wav,61503,0,4,1,7,2,children_playing
2092,663,61503-2-0-2.wav,61503,1,5,1,7,2,children_playing
2093,664,61503-2-0-3.wav,61503,1.5,5.5,1,7,2,children_playing
2094,665,61503-2-0-5.wav,61503,2.5,6.5,1,7,2,children_playing
2095,666,61503-2-0-6.wav,61503,3,7,1,7,2,children_playing
2096,667,61503-2-0-7.wav,61503,3.5,7.5,1,7,2,children_playing
2097,668,61503-2-0-8.wav,61503,4,8,1,7,2,children_playing
2098,669,61503-2-0-9.wav,61503,4.5,8.5,1,7,2,children_playing
2099,670,66619-2-0-0.wav,66619,18.004678,22.004678,2,7,2,children_playing
2100,671,66619-2-0-1.wav,66619,18.504678,22.504678,2,7,2,children_playing
2101,672,66619-2-0-11.wav,66619,23.504678,27.504678,2,7,2,children_playing
2102,673,66619-2-0-18.wav,66619,27.004678,31.004678,2,7,2,children_playing
2103,674,66619-2-0-22.wav,66619,29.004678,33.004678,2,7,2,children_playing
2104,675,66619-2-0-5.wav,66619,20.504678,24.504678,2,7,2,children_playing
2105,676,66619-2-0-6.wav,66619,21.004678,25.004678,2,7,2,children_playing
2106,677,66619-2-0-7.wav,66619,21.504678,25.504678,2,7,2,children_playing
2107,678,6902-2-0-12.wav,6902,6,10,1,7,2,children_playing
2108,679,6902-2-0-18.wav,6902,9,13,1,7,2,children_playing
2109,680,6902-2-0-26.wav,6902,13,17,1,7,2,children_playing
2110,681,6902-2-0-4.wav,6902,2,6,1,7,2,children_playing
2111,682,6902-2-0-5.wav,6902,2.5,6.5,1,7,2,children_playing
2112,683,6902-2-0-7.wav,6902,3.5,7.5,1,7,2,children_playing
2113,684,6902-2-0-9.wav,6902,4.5,8.5,1,7,2,children_playing
2114,685,81788-2-0-12.wav,81788,6,10,2,7,2,children_playing
2115,686,81788-2-0-14.wav,81788,7,11,2,7,2,children_playing
2116,687,81788-2-0-16.wav,81788,8,12,2,7,2,children_playing
2117,688,81788-2-0-35.wav,81788,17.5,21.5,2,7,2,children_playing
2118,689,81788-2-0-44.wav,81788,22,26,2,7,2,children_playing
2119,690,81788-2-0-51.wav,81788,25.5,29.5,2,7,2,children_playing
2120,691,81788-2-0-69.wav,81788,34.5,38.5,2,7,2,children_playing
2121,692,84143-2-0-10.wav,84143,5,9,2,7,2,children_playing
2122,693,84143-2-0-12.wav,84143,6,10,2,7,2,children_playing
2123,694,84143-2-0-13.wav,84143,6.5,10.5,2,7,2,children_playing
2124,695,84143-2-0-14.wav,84143,7,11,2,7,2,children_playing
2125,696,84143-2-0-15.wav,84143,7.5,11.5,2,7,2,children_playing
2126,697,84143-2-0-32.wav,84143,16,20,2,7,2,children_playing
2127,698,84143-2-0-38.wav,84143,19,23,2,7,2,children_playing
2128,699,84143-2-0-7.wav,84143,3.5,7.5,2,7,2,children_playing
2129,700,133090-2-0-14.wav,133090,7,11,1,8,2,children_playing
2130,701,133090-2-0-20.wav,133090,10,14,1,8,2,children_playing
2131,702,133090-2-0-28.wav,133090,14,18,1,8,2,children_playing
2132,703,133090-2-0-37.wav,133090,18.5,22.5,1,8,2,children_playing
2133,704,133090-2-0-38.wav,133090,19,23,1,8,2,children_playing
2134,705,133090-2-0-64.wav,133090,32,36,1,8,2,children_playing
2135,706,133090-2-0-70.wav,133090,35,39,1,8,2,children_playing
2136,707,133090-2-0-76.wav,133090,38,42,1,8,2,children_playing
2137,708,142003-2-0-0.wav,142003,0,4,1,8,2,children_playing
2138,709,142003-2-0-1.wav,142003,0.5,4.5,1,8,2,children_playing
2139,710,142003-2-0-19.wav,142003,9.5,13.5,1,8,2,children_playing
2140,711,142003-2-0-20.wav,142003,10,14,1,8,2,children_playing
2141,712,142003-2-0-21.wav,142003,10.5,14.5,1,8,2,children_playing
2142,713,142003-2-0-24.wav,142003,12,16,1,8,2,children_playing
2143,714,142003-2-0-30.wav,142003,15,19,1,8,2,children_playing
2144,715,142003-2-0-8.wav,142003,4,8,1,8,2,children_playing
2145,716,160016-2-0-13.wav,160016,6.5,10.5,2,8,2,children_playing
2146,717,160016-2-0-25.wav,160016,12.5,16.5,2,8,2,children_playing
2147,718,160016-2-0-26.wav,160016,13,17,2,8,2,children_playing
2148,719,160016-2-0-37.wav,160016,18.5,22.5,2,8,2,children_playing
2149,720,160016-2-0-40.wav,160016,20,24,2,8,2,children_playing
2150,721,160016-2-0-5.wav,160016,2.5,6.5,2,8,2,children_playing
2151,722,160016-2-0-8.wav,160016,4,8,2,8,2,children_playing
2152,723,169043-2-0-10.wav,169043,5,9,1,8,2,children_playing
2153,724,169043-2-0-13.wav,169043,6.5,10.5,1,8,2,children_playing
2154,725,169043-2-0-15.wav,169043,7.5,11.5,1,8,2,children_playing
2155,726,169043-2-0-21.wav,169043,10.5,14.5,1,8,2,children_playing
2156,727,169043-2-0-24.wav,169043,12,16,1,8,2,children_playing
2157,728,169043-2-0-28.wav,169043,14,18,1,8,2,children_playing
2158,729,169043-2-0-3.wav,169043,1.5,5.5,1,8,2,children_playing
2159,730,17009-2-0-0.wav,17009,0,4,1,8,2,children_playing
2160,731,17009-2-0-1.wav,17009,0.5,4.5,1,8,2,children_playing
2161,732,17009-2-0-10.wav,17009,5,9,1,8,2,children_playing
2162,733,17009-2-0-3.wav,17009,1.5,5.5,1,8,2,children_playing
2163,734,17009-2-0-4.wav,17009,2,6,1,8,2,children_playing
2164,735,17009-2-0-6.wav,17009,3,7,1,8,2,children_playing
2165,736,17009-2-0-9.wav,17009,4.5,8.5,1,8,2,children_playing
2166,737,193699-2-0-109.wav,193699,54.5,58.5,2,8,2,children_playing
2167,738,193699-2-0-3.wav,193699,1.5,5.5,2,8,2,children_playing
2168,739,193699-2-0-32.wav,193699,16,20,2,8,2,children_playing
2169,740,193699-2-0-33.wav,193699,16.5,20.5,2,8,2,children_playing
2170,741,193699-2-0-46.wav,193699,23,27,2,8,2,children_playing
2171,742,193699-2-0-54.wav,193699,27,31,2,8,2,children_playing
2172,743,193699-2-0-62.wav,193699,31,35,2,8,2,children_playing
2173,744,193699-2-0-69.wav,193699,34.5,38.5,2,8,2,children_playing
2174,745,196057-2-0-0.wav,196057,0,4,1,8,2,children_playing
2175,746,196068-2-0-0.wav,196068,0,4,1,8,2,children_playing
2176,747,196068-2-0-1.wav,196068,0.5,4.5,1,8,2,children_playing
2177,748,196074-2-0-0.wav,196074,0,2.194671,1,8,2,children_playing
2178,749,204526-2-0-121.wav,204526,60.5,64.5,1,8,2,children_playing
2179,750,204526-2-0-134.wav,204526,67,71,1,8,2,children_playing
2180,751,204526-2-0-153.wav,204526,76.5,80.5,1,8,2,children_playing
2181,752,204526-2-0-160.wav,204526,80,84,1,8,2,children_playing
2182,753,204526-2-0-166.wav,204526,83,87,1,8,2,children_playing
2183,754,204526-2-0-193.wav,204526,96.5,100.5,1,8,2,children_playing
2184,755,204526-2-0-71.wav,204526,35.5,39.5,1,8,2,children_playing
2185,756,207214-2-0-126.wav,207214,63,67,2,8,2,children_playing
2186,757,207214-2-0-26.wav,207214,13,17,2,8,2,children_playing
2187,758,207214-2-0-3.wav,207214,1.5,5.5,2,8,2,children_playing
2188,759,207214-2-0-31.wav,207214,15.5,19.5,2,8,2,children_playing
2189,760,207214-2-0-54.wav,207214,27,31,2,8,2,children_playing
2190,761,207214-2-0-62.wav,207214,31,35,2,8,2,children_playing
2191,762,207214-2-0-63.wav,207214,31.5,35.5,2,8,2,children_playing
2192,763,207214-2-0-68.wav,207214,34,38,2,8,2,children_playing
2193,764,36429-2-0-13.wav,36429,6.5,10.5,2,8,2,children_playing
2194,765,36429-2-0-14.wav,36429,7,11,2,8,2,children_playing
2195,766,36429-2-0-15.wav,36429,7.5,11.5,2,8,2,children_playing
2196,767,36429-2-0-18.wav,36429,9,13,2,8,2,children_playing
2197,768,36429-2-0-23.wav,36429,11.5,15.5,2,8,2,children_playing
2198,769,36429-2-0-6.wav,36429,3,7,2,8,2,children_playing
2199,770,36429-2-0-7.wav,36429,3.5,7.5,2,8,2,children_playing
2200,771,54914-2-0-23.wav,54914,11.5,15.5,2,8,2,children_playing
2201,772,54914-2-0-26.wav,54914,13,17,2,8,2,children_playing
2202,773,54914-2-0-27.wav,54914,13.5,17.5,2,8,2,children_playing
2203,774,54914-2-0-3.wav,54914,1.5,5.5,2,8,2,children_playing
2204,775,54914-2-0-34.wav,54914,17,21,2,8,2,children_playing
2205,776,54914-2-0-35.wav,54914,17.5,21.5,2,8,2,children_playing
2206,777,54914-2-0-48.wav,54914,24,28,2,8,2,children_playing
2207,778,72015-2-0-0.wav,72015,0,4,2,8,2,children_playing
2208,779,72015-2-0-1.wav,72015,0.5,4.5,2,8,2,children_playing
2209,780,72015-2-0-2.wav,72015,1,5,2,8,2,children_playing
2210,781,72015-2-0-3.wav,72015,1.5,5.5,2,8,2,children_playing
2211,782,72015-2-0-4.wav,72015,2,6,2,8,2,children_playing
2212,783,72015-2-0-5.wav,72015,2.5,6.5,2,8,2,children_playing
2213,784,76266-2-0-40.wav,76266,20,24,2,8,2,children_playing
2214,785,76266-2-0-46.wav,76266,23,27,2,8,2,children_playing
2215,786,76266-2-0-50.wav,76266,25,29,2,8,2,children_playing
2216,787,76266-2-0-55.wav,76266,27.5,31.5,2,8,2,children_playing
2217,788,76266-2-0-7.wav,76266,3.5,7.5,2,8,2,children_playing
2218,789,76266-2-0-76.wav,76266,38,42,2,8,2,children_playing
2219,790,76266-2-0-80.wav,76266,40,44,2,8,2,children_playing
2220,791,76266-2-0-91.wav,76266,45.5,49.5,2,8,2,children_playing
2221,792,81787-2-0-0.wav,81787,0,4,2,8,2,children_playing
2222,793,81787-2-0-14.wav,81787,7,11,2,8,2,children_playing
2223,794,81787-2-0-23.wav,81787,11.5,15.5,2,8,2,children_playing
2224,795,81787-2-0-35.wav,81787,17.5,21.5,2,8,2,children_playing
2225,796,81787-2-0-39.wav,81787,19.5,23.5,2,8,2,children_playing
2226,797,81787-2-0-4.wav,81787,2,6,2,8,2,children_playing
2227,798,81787-2-0-48.wav,81787,24,28,2,8,2,children_playing
2228,799,81787-2-0-49.wav,81787,24.5,28.5,2,8,2,children_playing
2229,800,13579-2-0-15.wav,13579,9.119075,13.119075,1,9,2,children_playing
2230,801,13579-2-0-16.wav,13579,9.619075,13.619075,1,9,2,children_playing
2231,802,13579-2-0-17.wav,13579,10.119075,14.119075,1,9,2,children_playing
2232,803,13579-2-0-2.wav,13579,2.619075,6.619075,1,9,2,children_playing
2233,804,13579-2-0-38.wav,13579,20.619075,24.619075,1,9,2,children_playing
2234,805,13579-2-0-48.wav,13579,25.619075,29.619075,1,9,2,children_playing
2235,806,13579-2-0-53.wav,13579,28.119075,32.119075,1,9,2,children_playing
2236,807,13579-2-0-62.wav,13579,32.619075,36.619075,1,9,2,children_playing
2237,808,156200-2-0-0.wav,156200,0,2.440907,1,9,2,children_playing
2238,809,159735-2-0-11.wav,159735,5.5,9.5,1,9,2,children_playing
2239,810,159735-2-0-121.wav,159735,60.5,64.5,1,9,2,children_playing
2240,811,159735-2-0-17.wav,159735,8.5,12.5,1,9,2,children_playing
2241,812,159735-2-0-22.wav,159735,11,15,1,9,2,children_playing
2242,813,159735-2-0-34.wav,159735,17,21,1,9,2,children_playing
2243,814,159735-2-0-80.wav,159735,40,44,1,9,2,children_playing
2244,815,159735-2-0-9.wav,159735,4.5,8.5,1,9,2,children_playing
2245,816,159735-2-0-99.wav,159735,49.5,53.5,1,9,2,children_playing
2246,817,161005-2-0-0.wav,161005,0,4,2,9,2,children_playing
2247,818,161005-2-0-12.wav,161005,6,10,2,9,2,children_playing
2248,819,161005-2-0-14.wav,161005,7,11,2,9,2,children_playing
2249,820,161005-2-0-19.wav,161005,9.5,13.5,2,9,2,children_playing
2250,821,161005-2-0-27.wav,161005,13.5,17.5,2,9,2,children_playing
2251,822,161005-2-0-28.wav,161005,14,18,2,9,2,children_playing
2252,823,161005-2-0-4.wav,161005,2,6,2,9,2,children_playing
2253,824,161005-2-0-6.wav,161005,3,7,2,9,2,children_playing
2254,825,174786-2-0-18.wav,174786,9,13,1,9,2,children_playing
2255,826,174786-2-0-19.wav,174786,9.5,13.5,1,9,2,children_playing
2256,827,174786-2-0-27.wav,174786,13.5,17.5,1,9,2,children_playing
2257,828,174786-2-0-30.wav,174786,15,19,1,9,2,children_playing
2258,829,174786-2-0-39.wav,174786,19.5,23.5,1,9,2,children_playing
2259,830,174786-2-0-60.wav,174786,30,34,1,9,2,children_playing
2260,831,174786-2-0-75.wav,174786,37.5,41.5,1,9,2,children_playing
2261,832,174786-2-0-89.wav,174786,44.5,48.5,1,9,2,children_playing
2262,833,184449-2-0-12.wav,184449,6,10,1,9,2,children_playing
2263,834,184449-2-0-13.wav,184449,6.5,10.5,1,9,2,children_playing
2264,835,184449-2-0-15.wav,184449,7.5,11.5,1,9,2,children_playing
2265,836,184449-2-0-16.wav,184449,8,12,1,9,2,children_playing
2266,837,184449-2-0-19.wav,184449,9.5,13.5,1,9,2,children_playing
2267,838,184449-2-0-24.wav,184449,12,16,1,9,2,children_playing
2268,839,184449-2-0-28.wav,184449,14,18,1,9,2,children_playing
2269,840,184449-2-0-33.wav,184449,16.5,20.5,1,9,2,children_playing
2270,841,190894-2-0-0.wav,190894,0,4,1,9,2,children_playing
2271,842,190894-2-0-2.wav,190894,1,5,1,9,2,children_playing
2272,843,190894-2-0-3.wav,190894,1.5,5.5,1,9,2,children_playing
2273,844,190894-2-0-4.wav,190894,2,6,1,9,2,children_playing
2274,845,190894-2-0-5.wav,190894,2.5,6.5,1,9,2,children_playing
2275,846,190894-2-0-6.wav,190894,3,7,1,9,2,children_playing
2276,847,190894-2-0-7.wav,190894,3.5,7.5,1,9,2,children_playing
2277,848,190894-2-0-8.wav,190894,4,8,1,9,2,children_playing
2278,849,192123-2-0-0.wav,192123,0,4,1,9,2,children_playing
2279,850,192123-2-0-10.wav,192123,5,9,1,9,2,children_playing
2280,851,192123-2-0-11.wav,192123,5.5,9.5,1,9,2,children_playing
2281,852,192123-2-0-17.wav,192123,8.5,12.5,1,9,2,children_playing
2282,853,192123-2-0-18.wav,192123,9,13,1,9,2,children_playing
2283,854,192123-2-0-22.wav,192123,11,15,1,9,2,children_playing
2284,855,192123-2-0-23.wav,192123,11.5,15.5,1,9,2,children_playing
2285,856,192123-2-0-4.wav,192123,2,6,1,9,2,children_playing
2286,857,196058-2-0-0.wav,196058,0,2.797256,1,9,2,children_playing
2287,858,196066-2-0-0.wav,196066,0,4,1,9,2,children_playing
2288,859,196066-2-0-1.wav,196066,0.5,4.5,1,9,2,children_playing
2289,860,204067-2-0-1.wav,204067,0.5,4.5,1,9,2,children_playing
2290,861,204067-2-0-20.wav,204067,10,14,1,9,2,children_playing
2291,862,204067-2-0-29.wav,204067,14.5,18.5,1,9,2,children_playing
2292,863,204067-2-0-3.wav,204067,1.5,5.5,1,9,2,children_playing
2293,864,204067-2-0-30.wav,204067,15,19,1,9,2,children_playing
2294,865,204067-2-0-32.wav,204067,16,20,1,9,2,children_playing
2295,866,204067-2-0-35.wav,204067,17.5,21.5,1,9,2,children_playing
2296,867,204067-2-0-39.wav,204067,19.5,23.5,1,9,2,children_playing
2297,868,207211-2-0-100.wav,207211,50,54,1,9,2,children_playing
2298,869,207211-2-0-11.wav,207211,5.5,9.5,1,9,2,children_playing
2299,870,207211-2-0-141.wav,207211,70.5,74.5,1,9,2,children_playing
2300,871,207211-2-0-58.wav,207211,29,33,1,9,2,children_playing
2301,872,207211-2-0-72.wav,207211,36,40,1,9,2,children_playing
2302,873,207211-2-0-82.wav,207211,41,45,1,9,2,children_playing
2303,874,207211-2-0-88.wav,207211,44,48,1,9,2,children_playing
2304,875,207211-2-0-89.wav,207211,44.5,48.5,1,9,2,children_playing
2305,876,59037-2-0-6.wav,59037,3,7,2,9,2,children_playing
2306,877,59037-2-1-2.wav,59037,24.445803,28.445803,2,9,2,children_playing
2307,878,59037-2-1-3.wav,59037,24.945803,28.945803,2,9,2,children_playing
2308,879,59037-2-2-0.wav,59037,60.488901,63.030452,2,9,2,children_playing
2309,880,59037-2-3-0.wav,59037,69.702022,72.434189,2,9,2,children_playing
2310,881,59037-2-4-3.wav,59037,76.094507,80.094507,2,9,2,children_playing
2311,882,59037-2-4-5.wav,59037,77.094507,81.094507,2,9,2,children_playing
2312,883,59037-2-4-8.wav,59037,78.594507,82.594507,2,9,2,children_playing
2313,884,60935-2-0-0.wav,60935,0,4,1,9,2,children_playing
2314,885,60935-2-0-11.wav,60935,5.5,9.5,1,9,2,children_playing
2315,886,60935-2-0-12.wav,60935,6,10,1,9,2,children_playing
2316,887,60935-2-0-13.wav,60935,6.5,10.5,1,9,2,children_playing
2317,888,60935-2-0-14.wav,60935,7,11,1,9,2,children_playing
2318,889,60935-2-0-15.wav,60935,7.5,11.5,1,9,2,children_playing
2319,890,60935-2-0-4.wav,60935,2,6,1,9,2,children_playing
2320,891,60935-2-0-9.wav,60935,4.5,8.5,1,9,2,children_playing
2321,892,99500-2-0-1.wav,99500,0.5,4.5,2,9,2,children_playing
2322,893,99500-2-0-11.wav,99500,5.5,9.5,2,9,2,children_playing
2323,894,99500-2-0-2.wav,99500,1,5,2,9,2,children_playing
2324,895,99500-2-0-23.wav,99500,11.5,15.5,2,9,2,children_playing
2325,896,99500-2-0-29.wav,99500,14.5,18.5,2,9,2,children_playing
2326,897,99500-2-0-39.wav,99500,19.5,23.5,2,9,2,children_playing
2327,898,99500-2-0-41.wav,99500,20.5,24.5,2,9,2,children_playing
2328,899,99500-2-0-50.wav,99500,25,29,2,9,2,children_playing
2329,900,101382-2-0-10.wav,101382,5,9,1,10,2,children_playing
2330,901,101382-2-0-12.wav,101382,6,10,1,10,2,children_playing
2331,902,101382-2-0-20.wav,101382,10,14,1,10,2,children_playing
2332,903,101382-2-0-21.wav,101382,10.5,14.5,1,10,2,children_playing
2333,904,101382-2-0-29.wav,101382,14.5,18.5,1,10,2,children_playing
2334,905,101382-2-0-33.wav,101382,16.5,20.5,1,10,2,children_playing
2335,906,101382-2-0-42.wav,101382,21,25,1,10,2,children_playing
2336,907,101382-2-0-45.wav,101382,22.5,26.5,1,10,2,children_playing
2337,908,129750-2-0-3.wav,129750,1.5,5.5,2,10,2,children_playing
2338,909,129750-2-0-34.wav,129750,17,21,2,10,2,children_playing
2339,910,129750-2-0-36.wav,129750,18,22,2,10,2,children_playing
2340,911,129750-2-0-37.wav,129750,18.5,22.5,2,10,2,children_playing
2341,912,129750-2-0-4.wav,129750,2,6,2,10,2,children_playing
2342,913,129750-2-0-45.wav,129750,22.5,26.5,2,10,2,children_playing
2343,914,129750-2-0-46.wav,129750,23,27,2,10,2,children_playing
2344,915,129750-2-0-48.wav,129750,24,28,2,10,2,children_playing
2345,916,14470-2-0-10.wav,14470,5,9,1,10,2,children_playing
2346,917,14470-2-0-14.wav,14470,7,11,1,10,2,children_playing
2347,918,14470-2-0-21.wav,14470,10.5,14.5,1,10,2,children_playing
2348,919,14470-2-0-4.wav,14470,2,6,1,10,2,children_playing
2349,920,14470-2-0-56.wav,14470,28,32,1,10,2,children_playing
2350,921,14470-2-0-65.wav,14470,32.5,36.5,1,10,2,children_playing
2351,922,14470-2-0-70.wav,14470,35,39,1,10,2,children_playing
2352,923,14470-2-0-72.wav,14470,36,40,1,10,2,children_playing
2353,924,155262-2-0-101.wav,155262,50.5,54.5,2,10,2,children_playing
2354,925,155262-2-0-11.wav,155262,5.5,9.5,2,10,2,children_playing
2355,926,155262-2-0-15.wav,155262,7.5,11.5,2,10,2,children_playing
2356,927,155262-2-0-2.wav,155262,1,5,2,10,2,children_playing
2357,928,155262-2-0-21.wav,155262,10.5,14.5,2,10,2,children_playing
2358,929,155262-2-0-48.wav,155262,24,28,2,10,2,children_playing
2359,930,155262-2-0-58.wav,155262,29,33,2,10,2,children_playing
2360,931,155262-2-0-63.wav,155262,31.5,35.5,2,10,2,children_playing
2361,932,155280-2-0-10.wav,155280,7.112855,11.112855,2,10,2,children_playing
2362,933,155280-2-0-11.wav,155280,7.612855,11.612855,2,10,2,children_playing
2363,934,155280-2-0-13.wav,155280,8.612855,12.612855,2,10,2,children_playing
2364,935,155280-2-0-15.wav,155280,9.612855,13.612855,2,10,2,children_playing
2365,936,155280-2-0-3.wav,155280,3.612855,7.612855,2,10,2,children_playing
2366,937,155280-2-0-5.wav,155280,4.612855,8.612855,2,10,2,children_playing
2367,938,155280-2-0-6.wav,155280,5.112855,9.112855,2,10,2,children_playing
2368,939,155280-2-0-7.wav,155280,5.612855,9.612855,2,10,2,children_playing
2369,940,164194-2-0-10.wav,164194,64.864282,68.864282,1,10,2,children_playing
2370,941,164194-2-0-11.wav,164194,65.364282,69.364282,1,10,2,children_playing
2371,942,164194-2-0-14.wav,164194,66.864282,70.864282,1,10,2,children_playing
2372,943,164194-2-0-18.wav,164194,68.864282,72.864282,1,10,2,children_playing
2373,944,164194-2-0-24.wav,164194,71.864282,75.864282,1,10,2,children_playing
2374,945,164194-2-0-26.wav,164194,72.864282,76.864282,1,10,2,children_playing
2375,946,164194-2-0-29.wav,164194,74.364282,78.364282,1,10,2,children_playing
2376,947,164194-2-0-7.wav,164194,63.364282,67.364282,1,10,2,children_playing
2377,948,178826-2-0-10.wav,178826,5,9,1,10,2,children_playing
2378,949,178826-2-0-12.wav,178826,6,10,1,10,2,children_playing
2379,950,178826-2-0-14.wav,178826,7,11,1,10,2,children_playing
2380,951,178826-2-0-16.wav,178826,8,12,1,10,2,children_playing
2381,952,178826-2-0-17.wav,178826,8.5,12.5,1,10,2,children_playing
2382,953,178826-2-0-20.wav,178826,10,14,1,10,2,children_playing
2383,954,178826-2-0-28.wav,178826,14,18,1,10,2,children_playing
2384,955,178826-2-0-39.wav,178826,19.5,23.5,1,10,2,children_playing
2385,956,187110-2-0-1.wav,187110,0.5,4.5,1,10,2,children_playing
2386,957,187110-2-0-10.wav,187110,5,9,1,10,2,children_playing
2387,958,187110-2-0-12.wav,187110,6,10,1,10,2,children_playing
2388,959,187110-2-0-27.wav,187110,13.5,17.5,1,10,2,children_playing
2389,960,187110-2-0-30.wav,187110,15,19,1,10,2,children_playing
2390,961,187110-2-0-34.wav,187110,17,21,1,10,2,children_playing
2391,962,187110-2-0-6.wav,187110,3,7,1,10,2,children_playing
2392,963,187110-2-0-8.wav,187110,4,8,1,10,2,children_playing
2393,964,188497-2-0-0.wav,188497,0,4,1,10,2,children_playing
2394,965,188497-2-0-1.wav,188497,0.5,4.5,1,10,2,children_playing
2395,966,188497-2-0-11.wav,188497,5.5,9.5,1,10,2,children_playing
2396,967,188497-2-0-17.wav,188497,8.5,12.5,1,10,2,children_playing
2397,968,188497-2-0-19.wav,188497,9.5,13.5,1,10,2,children_playing
2398,969,188497-2-0-2.wav,188497,1,5,1,10,2,children_playing
2399,970,188497-2-0-23.wav,188497,11.5,15.5,1,10,2,children_playing
2400,971,188497-2-0-8.wav,188497,4,8,1,10,2,children_playing
2401,972,196069-2-0-0.wav,196069,0,3.148163,1,10,2,children_playing
2402,973,196084-2-0-0.wav,196084,0.708236,4.708236,1,10,2,children_playing
2403,974,196084-2-0-1.wav,196084,1.208236,5.208236,1,10,2,children_playing
2404,975,196084-2-0-2.wav,196084,1.708236,5.708236,1,10,2,children_playing
2405,976,196086-2-0-0.wav,196086,0,1.048434,1,10,2,children_playing
2406,977,197554-2-0-23.wav,197554,22.350495,26.350495,1,10,2,children_playing
2407,978,197554-2-0-26.wav,197554,23.850495,27.850495,1,10,2,children_playing
2408,979,197554-2-0-28.wav,197554,24.850495,28.850495,1,10,2,children_playing
2409,980,197554-2-0-3.wav,197554,12.350495,16.350495,1,10,2,children_playing
2410,981,197554-2-0-60.wav,197554,40.850495,44.850495,1,10,2,children_playing
2411,982,197554-2-0-69.wav,197554,45.350495,49.350495,1,10,2,children_playing
2412,983,197554-2-0-74.wav,197554,47.850495,51.850495,1,10,2,children_playing
2413,984,197554-2-0-82.wav,197554,51.850495,55.850495,1,10,2,children_playing
2414,985,207213-2-0-109.wav,207213,54.5,58.5,2,10,2,children_playing
2415,986,207213-2-0-130.wav,207213,65,69,2,10,2,children_playing
2416,987,207213-2-0-134.wav,207213,67,71,2,10,2,children_playing
2417,988,207213-2-0-41.wav,207213,20.5,24.5,2,10,2,children_playing
2418,989,207213-2-0-52.wav,207213,26,30,2,10,2,children_playing
2419,990,207213-2-0-73.wav,207213,36.5,40.5,2,10,2,children_playing
2420,991,207213-2-0-81.wav,207213,40.5,44.5,2,10,2,children_playing
2421,992,207213-2-0-85.wav,207213,42.5,46.5,2,10,2,children_playing
2422,993,27070-2-0-0.wav,27070,0,4,2,10,2,children_playing
2423,994,27070-2-0-2.wav,27070,1,5,2,10,2,children_playing
2424,995,27070-2-0-3.wav,27070,1.5,5.5,2,10,2,children_playing
